Name,URL,Longitude,Latitude,Country
Übungshang Dollnstein,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=445,11.086127,48.848196,DE
Obereichstätt Startplatz 1,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=446,11.135050,48.896704,DE
Voithenberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=449,12.792377,49.334715,DE
Burgberg Kreuz Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=450,11.955107,49.167612,DE
Osser Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=452,13.099051,49.203972,DE
Premberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=459,12.073159,49.234778,DE
Buchberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=466,12.029793,49.514663,DE
Kohlberg Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=468,12.031660,49.593855,DE
Hoher Bogen Startplatz Ahornriegel NW,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=469,12.941944,49.235000,DE
Jachenhausen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=471,11.699581,48.987399,DE
Sommerberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=473,12.747083,49.036667,DE
Pröller Startplatz Gipfel Nordhang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=475,12.821484,49.022265,DE
Winzerer Höhen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=479,12.056529,49.035351,DE
Steinbühler Gesenke Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=480,12.951306,49.173086,DE
Ofenthaler Berg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=483,9.909967,50.125447,DE
Heckenkopf - Rauschen / Faulbach Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=486,9.466116,49.782303,DE
Homburg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=492,9.798167,50.026661,DE
